tomcat7-new,app-fshare.war,192.168.65.47,/opt/oracle/tomcat/t-1/webapps,fshare
tomcat7-new,app-ids.war,192.168.65.23,/opt/oracle/tomcat/t-5/webapps,ids
tomcat7-new,app-ids.war,192.168.65.24,/opt/oracle/tomcat/t-5/webapps,ids
tomcat7-new,app-internal.war,192.168.65.27,/opt/oracle/tomcat/tomcatInternal27-12/webapps,mas
tomcat7-new,app-internal.war,192.168.65.28,/opt/oracle/tomcat/tomcatInternal28-12/webapps,mas
tomcat7-new,app-mas.war,192.168.65.137,/opt/oracle/tomcat/tomcatMas137-10/webapps,mas
tomcat7-new,app-mas.war,192.168.65.138,/opt/oracle/tomcat/tomcatMas138-10/webapps,mas
tomcat7-new,app-mas.war,192.168.65.139,/opt/oracle/tomcat/tomcatMas139-10/webapps,mas
tomcat7-new,app-mas.war,192.168.65.143,/opt/oracle/tomcat/tomcatMas143-10/webapps,mas
tomcat7-new,app-mas.war,192.168.65.17,/opt/oracle/tomcat/tomcatMas17-10/webapps,mas
tomcat7-new,app-mas.war,192.168.65.25,/opt/oracle/tomcat/tomcatMas25-10/webapps,mas
tomcat7-new,app-mbp-c.war,192.168.65.2,/opt/oracle/tomcat/t-1/webapps,mbp-c
tomcat7-new,app-mbp-c.war,192.168.65.4,/opt/oracle/tomcat/t-1/webapps,mbp-c
tomcat7-new,app-mbp-c.war,192.168.65.8,/opt/oracle/tomcat/t-1/webapps,mbp-c
tomcat7-new,app-mbp-c.war,192.168.65.9,/opt/oracle/tomcat/t-1/webapps,mbp-c
tomcat7-new,app-mbp.war,192.168.65.13,/opt/oracle/tomcat/t-6/webapps,mobile-proxy
tomcat7-new,app-mbp.war,192.168.65.14,/opt/oracle/tomcat/t-6/webapps,mobile-proxy
tomcat7-new,app-mbrentry.war,192.168.65.137,/opt/oracle/tomcat/t-1/webapps,mbrentry
tomcat7-new,app-mbrentry.war,192.168.65.138,/opt/oracle/tomcat/t-1/webapps,mbrentry
tomcat7-new,app-mbs.war,192.168.65.21,/opt/oracle/tomcat/t-6/webapps,Mbs
tomcat7-new,app-mbs.war,192.168.65.22,/opt/oracle/tomcat/t-6/webapps,Mbs
tomcat7-new,app-mcs.war,192.168.65.23,/opt/oracle/tomcat/tomcatMcs23-4/webapps,mas
tomcat7-new,app-mcs.war,192.168.65.24,/opt/oracle/tomcat/tomcatMcs24-4/webapps,mas
tomcat7-new,app-mfs.war,192.168.65.89,/opt/oracle/tomcat/t-6/webapps,mfs
tomcat7-new,app-mfs.war,192.168.65.90,/opt/oracle/tomcat/t-6/webapps,mfs
tomcat7-new,app-mgw.war,192.168.65.27,/opt/oracle/tomcat/t-6/webapps,mgw
tomcat7-new,app-mgw.war,192.168.65.28,/opt/oracle/tomcat/t-6/webapps,mgw
tomcat7-new,app-mnp.war,192.168.65.54,/opt/oracle/tomcat/t-1/webapps,mnp
tomcat7-new,app-mnp.war,192.168.65.55,/opt/oracle/tomcat/t-1/webapps,mnp
tomcat7-new,app-moas.war,192.168.65.13,/opt/oracle/tomcat/t-3/webapps,moas
tomcat7-new,app-moas.war,192.168.65.14,/opt/oracle/tomcat/t-3/webapps,moas
tomcat7-new,app-mock.war,192.168.65.21,/opt/oracle/tomcat/t-3/webapps,mock
tomcat7-new,app-mrs-etl-bde.war,192.168.65.21,/opt/oracle/tomcat/t-7/webapps,mrs-etl-bde
tomcat7-new,app-mrs-etl-bde.war,192.168.65.22,/opt/oracle/tomcat/t-7/webapps,mrs-etl-bde
tomcat7-new,app-mrs-etl.war,192.168.65.58,/opt/oracle/tomcat/t-2/webapps,mrs-etl
tomcat7-new,app-mrs-etl.war,192.168.65.59,/opt/oracle/tomcat/t-2/webapps,mrs-etl
tomcat7-new,app-mrs-quartz.war,192.168.65.143,/opt/oracle/tomcat/t-6/webapps,mrs-quartz
tomcat7-new,app-mrs.war,192.168.65.23,/opt/oracle/tomcat/t-6/webapps,Mrs
tomcat7-new,app-mrs.war,192.168.65.24,/opt/oracle/tomcat/t-6/webapps,Mrs
tomcat7-new,app-oas.war,192.168.65.13,/opt/oracle/tomcat/t-2/webapps,app-oas
tomcat7-new,app-oqs.war,192.168.65.54,/opt/oracle/tomcat/t-4/webapps,oqs
tomcat7-new,app-oqs.war,192.168.65.55,/opt/oracle/tomcat/t-4/webapps,oqs
tomcat7-new,app-pay2bank.war,192.168.65.133,/opt/oracle/tomcat/t-1/webapps,pay2bank
tomcat7-new,app-pay2bank.war,192.168.65.134,/opt/oracle/tomcat/t-1/webapps,pay2bank
tomcat7-new,app-pcids.war,192.168.65.13,/opt/oracle/tomcat/t-1/webapps,pcids
tomcat7-new,app-pcids.war,192.168.65.14,/opt/oracle/tomcat/t-1/webapps,pcids
tomcat7-new,app-pe-bps-mdp.war,192.168.65.2,/opt/oracle/tomcat/t-6/webapps,app-pe-bps-mdp
tomcat7-new,app-pe-bps-mdp.war,192.168.65.4,/opt/oracle/tomcat/t-6/webapps,app-pe-bps-mdp
tomcat7-new,app-pix-posp.war,192.168.65.13,/opt/oracle/tomcat/t-6/webapps,pix-posp
tomcat7-new,app-pix-posp.war,192.168.65.14,/opt/oracle/tomcat/t-6/webapps,pix-posp
tomcat7-new,app-pix.war,192.168.65.58,/opt/oracle/tomcat/t-14/webapps,pix
tomcat7-new,app-pix.war,192.168.65.59,/opt/oracle/tomcat/t-14/webapps,pix
tomcat7-new,app-posp-proxy.war,192.168.65.15,/opt/oracle/tomcat/t-5/webapps,posp-proxy
tomcat7-new,app-posp-proxy.war,192.168.65.15,/opt/oracle/tomcat/t-12/webapps,posp-proxy
tomcat7-new,app-posp-proxy.war,192.168.65.16,/opt/oracle/tomcat/t-5/webapps,posp-proxy
tomcat7-new,app-posp-proxy.war,192.168.65.16,/opt/oracle/tomcat/t-12/webapps,posp-proxy
tomcat7-new,app-posp.war,192.168.65.15,/opt/oracle/tomcat/t-3/webapps,posp
tomcat7-new,app-posp.war,192.168.65.16,/opt/oracle/tomcat/t-3/webapps,posp
tomcat7-new,app-productOpenup.war,192.168.65.36,/opt/oracle/tomcat/t-2/webapps,productOpenUp
tomcat7-new,app-productOpenup.war,192.168.65.37,/opt/oracle/tomcat/t-2/webapps,productOpenUp
tomcat7-new,app-rds.war,192.168.65.31,/opt/oracle/tomcat/t-1/webapps,rds
tomcat7-new,app-rds.war,192.168.65.32,/opt/oracle/tomcat/t-1/webapps,rds
tomcat7-new,app-referencedata.war,192.168.65.15,/opt/oracle/tomcat/t-6/webapps,referenceData
tomcat7-new,app-referencedata.war,192.168.65.16,/opt/oracle/tomcat/t-6/webapps,referenceData
tomcat7-new,app-reverseposp.war,192.168.65.15,/opt/oracle/tomcat/t-11/webapps,ReversePosp
tomcat7-new,app-reverseposp.war,192.168.65.16,/opt/oracle/tomcat/t-11/webapps,ReversePosp
tomcat7-new,app-s3.war,192.168.65.15,/opt/oracle/tomcat/t-1/webapps,s3
tomcat7-new,app-s3.war,192.168.65.16,/opt/oracle/tomcat/t-1/webapps,s3
tomcat7-new,app-security-hsm.war,192.168.65.200,/opt/oracle/tomcat/t-6/webapps,app-security-hsm
tomcat7-new,app-split.war,192.168.65.15,/opt/oracle/tomcat/t-9/webapps,split
tomcat7-new,app-split.war,192.168.65.16,/opt/oracle/tomcat/t-9/webapps,split
tomcat7-new,app-sso-cas.war,192.168.65.87,/opt/oracle/tomcat/t-3/webapps,cas
tomcat7-new,app-sso-cas.war,192.168.65.88,/opt/oracle/tomcat/t-3/webapps,cas
tomcat7-new,app-sso-login.war,192.168.65.87,/opt/oracle/tomcat/t-2/webapps,ssoLogin
tomcat7-new,app-sso-login.war,192.168.65.88,/opt/oracle/tomcat/t-2/webapps,ssoLogin
tomcat7-new,app-sso-subintra.war,192.168.65.27,/opt/oracle/tomcat/t-1/webapps,subintra
tomcat7-new,app-sso-subintra.war,192.168.65.28,/opt/oracle/tomcat/t-1/webapps,subintra
tomcat7-new,app-steel.war,192.168.65.17,/opt/oracle/tomcat/t-13/webapps,steel
tomcat7-new,app-steel.war,192.168.65.25,/opt/oracle/tomcat/t-13/webapps,steel
tomcat7-new,app-tais.war,192.168.65.27,/opt/oracle/tomcat/t-14/webapps,tais
tomcat7-new,app-tais.war,192.168.65.28,/opt/oracle/tomcat/t-14/webapps,tais
tomcat7-new,app-tais.war,192.168.65.51,/opt/oracle/tomcat/t-14/webapps,tais
tomcat7-new,app-uccs.war,192.168.65.31,/opt/oracle/tomcat/t-22/webapps,uccs
tomcat7-new,app-uccs.war,192.168.65.32,/opt/oracle/tomcat/t-22/webapps,uccs
